tgin,hgin,tgout,hgout,ph,tliq,co2in,co2out,dp,vg,dustrak,cmd,nc,mass,ambpm,driftmgkg,loading,co2diff,fliq,packing,medium,disb,divice
16.4,55,NA,91.1,11.18,14.5,397,277,31,7,0.010881508,22.3,57100,2.96,0.004941514,0.001464479,low,120,80,ss315,taurate,distbtr,pc
17.7,51.6,NA,92.2,11.18,14.4,394,287,58,9,0.009893413,23.4,75700,3.47,0.004941514,0.001893399,low,107,80,ss316,taurate,distbtr,pc
19.1,48.1,NA,92.5,11.18,14.3,389,292,71,10.5,0.012753082,22.7,38500,2.76,0.005770869,0.002389569,low,97,80,ss317,taurate,distbtr,pc
17.8,53,NA,88.9,11.22,12.7,397,303,43,8.8,0.015719664,39.5,15300,9.46,0.004941514,0.001533132,low,94,70,ss318,taurate,distbtr,pc
18.5,48.8,NA,90,11.2,13.4,398,297,50,8.6,0.031090455,46.1,16000,13,0.005739123,0.005475311,medium,101,80,ss319,taurate,distbtr,pc
19.1,47,NA,90.6,11.18,13.9,396,289,60,8.6,0.021953872,34.8,20200,13.8,0.00634198,0.00241892,medium,107,100,ss320,taurate,distbtr,pc
19.8,45.2,NA,90.6,11.17,14.3,396,283,68,8.3,0.032411712,42.8,14000,13.3,0.009033333,0.005475311,medium,113,120,ss321,taurate,distbtr,pc
19.6,44.3,NA,89.9,11.15,14.9,393,241,26,5.4,0.022862802,29.6,22600,14.3,0.008875,0.00241892,medium,152,120,ss322,taurate,distbtr,pc
19.7,43.4,NA,90.2,11.14,15.2,391,263,44,6.7,0.022544781,41,14300,14.1,0.009033333,0.00241892,medium,128,120,ss323,taurate,distbtr,pc
20,42.7,NA,90.6,11.12,15.6,392,274,70,8,0.022544781,32.1,20300,14.2,0.009033333,0.00241892,medium,118,120,ss324,taurate,distbtr,pc
20.6,42.5,NA,91,11.12,15.8,391,284,88,9.8,0.021478393,27.2,28900,13.5,0.008875,0.002677219,medium,107,120,ss325,taurate,distbtr,pc
20.9,43,NA,88.2,11.09,17.1,373,245,23,5.7,0.0150081,34.2,16000,8.19,0.0091375,0.001615877,medium,128,80,ss326,taurate,distbtr,pc
16.9,29.8,NA,88.3,11.14,13.3,381,246,23,5.5,0.010881508,28,5530,3.13,0.005787228,0.001547224,medium,135,80,ss327,taurate,distbtr,pc
17.3,29.6,NA,89.1,11.14,13.2,384,269,34,7.5,0.010881508,28.2,7750,3.18,0.005787228,0.001547224,medium,115,80,ss328,taurate,distbtr,pc
17.7,28.7,NA,89.8,11.14,13.2,381,284,54,9.3,0.009893413,28.7,5980,2.33,0.005787228,0.001547224,medium,97,80,ss329,taurate,distbtr,pc
18.2,27.2,NA,90.3,11.15,12.6,380,290,68,10.6,0.010282302,27.1,6430,2.14,0.006487228,0.002043393,medium,90,80,ss330,taurate,distbtr,pc
18.8,56.8,NA,91.8,10.9,14,420,338,43,8.5,0.006,23,62500,4.85,0.008,0.001092857,high,82,70,ss331,taurate,distbtr,pc
19.4,54.4,NA,91.6,10.89,14.7,420,326,46,8.6,0.009,27.5,81100,6.84,0.008,0.00145125,high,94,80,ss332,taurate,distbtr,pc
20.1,52.2,NA,91.7,10.87,15.4,408,310,60,8.6,0.011,27.9,84000,7.36,0.008,0.001419,high,98,100,ss333,taurate,distbtr,pc
20.1,51.6,NA,91.9,10.85,15.8,417,324,64,8.2,0.0143,28.7,93200,11,0.008,0.00146575,high,93,120,ss334,taurate,distbtr,pc
20,51.3,NA,91.2,10.83,16.3,424,285,26,5.4,0.018,27.6,99100,9.95,0.008,0.001215,high,139,120,ss335,taurate,distbtr,pc
20.5,50.3,NA,91.3,10.82,16.6,395,284,43,6.7,0.0154,23.1,101000,8.96,0.008,0.00128975,high,111,120,ss336,taurate,distbtr,pc
20.3,49.3,NA,91.6,10.82,16.7,395,294,66,8.8,0.0135,24.4,51500,7.78,0.008,0.001485,high,101,120,ss337,taurate,distbtr,pc
20.5,48.8,NA,91.8,10.81,16.8,395,303,87,10,0.011606468,36,19500,6.39,0.008506775,0,high,92,120,ss338,taurate,distbtr,pc
20.4,49.6,NA,90.8,10.81,16.8,398,274,24,5.6,0.012399601,28.8,40000,6.52,0.008244275,0,high,124,80,ss339,taurate,distbtr,pc
20.9,48.3,NA,90.9,10.81,16.7,385,285,36,6.9,0.011164069,31.7,16000,3.73,0.008195664,0,high,100,80,ss340,taurate,distbtr,pc
21.3,47.5,NA,91.1,10.81,16.6,390,302,55,9.7,0.006,30.4,37000,4.88,0.008,0.00109125,high,88,80,ss341,taurate,distbtr,pc
21.3,47.9,NA,91.3,10.81,16.6,390,309,68,10.8,0.006,30.9,28000,5.46,0.008,0.001215,high,81,80,ss342,taurate,distbtr,pc
21.3,47.9,NA,91.3,10.81,16.6,390,390,68,10.8,0.008,27.86621,52498.057,8.759888,0.007686498,0.003356343,high,0,0,ss343,taurate,distbtr,pc
18.5,48.6,NA,89.1,14.42,14.6,392,227,3.4,3,0.065,18.2,187000,15.2,0.008,0.002925,low,165,100,plastic,caustic,distbtr,pc
20.7,44.4,NA,93.1,14.43,14.6,387,300,18,8.5,0.037,27.1,37300,13.2,0.008,0.0047175,low,87,100,plastic,caustic,distbtr,pc
23.9,33.8,NA,96.3,14.44,14.3,391,326,97,18.4,0.026,32.5,24000,13,0.008,0.007176,low,65,100,plastic,caustic,distbtr,pc
20.8,37.6,NA,96.5,14.44,14.3,390,295,21,8.5,0.042,20.5,118000,17,0.008,0.005355,low,95,100,plastic,caustic,distbtr,pc
21.1,36.8,NA,96,14.45,14.4,386,300,21,8.5,0.029,26.7,25500,9.9,0.008,0.004621875,low,86,80,plastic,caustic,distbtr,pc
21.1,36.8,NA,96,14.45,14.4,386,386,21,8.5,0.008,28.24,42507.236,8.45103,0.008549747,0.003526323,low,0,0,plastic,caustic,distbtr,pc
23.2,45.6,NA,89,11.15,18.1,393,332,26,9.2,0.013,38.5,68800,15.7,0.011,0.002562857,low,61,70,plastic,taurate,distbtr,pc
23.3,45.5,NA,90.3,11.15,18.1,324,394,26,9.2,0.013,31.2,22100,5.3,0.011,0.0022425,low,-70,80,plastic,taurate,distbtr,pc
23.5,45.6,NA,90.8,11.14,18.3,394,324,26,9.5,0.014,33.8,42100,9.02,0.011,0.001995,low,70,100,plastic,taurate,distbtr,pc
23.4,45.9,NA,91.1,11.13,18.5,393,316,26,9.4,0.016,37.7,73400,18.1,0.011,0.00188,low,77,120,plastic,taurate,distbtr,pc
22.8,46.5,NA,90.5,11.12,18.8,393,287,12,5.5,0.02,31.6,17700,6.57,0.011,0.001375,low,106,120,plastic,taurate,distbtr,pc
23.1,46.4,NA,91.2,11.12,18.9,394,315,25,8.5,0.0165,39.7,11100,5.22,0.011,0.001753125,low,79,120,plastic,taurate,distbtr,pc
23.9,45,NA,92.2,11.12,18.8,394,230,58,13.9,0.015,35.2,7640,4.59,0.011,0.00260625,low,164,120,plastic,taurate,distbtr,pc
25.5,42.6,NA,93.1,11.12,18.6,390,335,130,17,0.0225,36.6,5290,5.46,0.011,0.00478125,low,55,120,plastic,taurate,distbtr,pc
25.6,40.5,NA,93.9,11.12,18.4,387,336,108,18,0.014,33.6,4860,3.29,0.011,0.004725,low,51,80,plastic,taurate,distbtr,pc
24.1,42,NA,93,11.12,18.3,391,336,55,13.6,0.011,34.5,5110,3.32,0.011,0.002805,low,55,80,plastic,taurate,distbtr,pc
22.7,44.2,NA,92.4,11.12,18.3,390,315,13,8.8,0.012,32.8,5660,2.31,0.011,0.00198,low,75,80,plastic,taurate,distbtr,pc
22.2,46.1,NA,91.4,11.11,18.3,393,289,10,5.5,0.014,32,8150,3.37,0.011,0.00144375,low,104,80,plastic,taurate,distbtr,pc
24.9,44.5,NA,92.7,11.11,18.3,394,343,106,18,0.014,32.8,5430,3.01,0.011,0.004725,low,51,80,plastic,taurate,distbtr,pc
24.9,44.5,NA,92.7,11.11,18.3,394,394,106,18,0.011,34.31848,7091.673,4.24967,0.010714832,0.004487643,low,0,0,plastic,taurate,distbtr,pc
20,60.6,NA,89.6,10.92,16.9,392,331,22,9.4,0.011,27.20732,30535.096,11.324799,0.008,0.002215714,low,61,70,plastic,taurate,distbtr,pc
20.1,56.5,NA,90.8,10.92,16.9,392,326,23,9.5,0.012,27.20732,30535.096,10.414457,0.008,0.0021375,low,66,80,plastic,taurate,distbtr,pc
20.4,55.2,NA,90.1,10.91,16.9,389,325,24,9.2,0.012,27.20732,30535.096,10.414457,0.008,0.001656,low,64,100,plastic,taurate,distbtr,pc
20.5,53.3,NA,91.4,10.91,17,393,320,27,9.3,0.013,27.20732,30535.096,8.186575,0.008,0.00151125,medium,73,120,plastic,taurate,distbtr,pc
19.9,53.9,NA,90.8,10.91,17.1,395,297,12,5.5,0.013,27.20732,30535.096,11.142797,0.008,0.001340625,medium,98,80,plastic,taurate,distbtr,pc
20.2,52.9,NA,91.2,10.9,17,388,323,23,8.7,0.01,27.20732,30535.096,9.700787,0.008,0.00163125,medium,65,80,plastic,taurate,distbtr,pc
21.2,50.6,NA,92.4,10.91,16.8,391,339,52,13.9,0.008,27.20732,30535.096,7.753018,0.008,0.002085,medium,52,80,plastic,taurate,distbtr,pc
22.6,48.3,NA,93.1,10.91,16.7,388,343,104,17.9,0.008,27.86621,30535.096,8.061039,0.008,0.002685,medium,45,80,plastic,taurate,distbtr,pc
22.6,46.4,NA,93.6,10.91,16.8,386,338,128,18,0.01,27.86621,30535.096,7.753018,0.008,0.00225,medium,48,120,plastic,taurate,distbtr,pc
21.1,46.3,NA,93.9,10.91,16.8,388,332,62,13.3,0.009,27.20732,30535.096,7.753018,0.008,0.00149625,medium,56,120,plastic,taurate,distbtr,pc
20.1,47.5,NA,93.2,10.91,16.8,388,316,24,9,0.012,27.20732,30535.096,8.155009,0.008,0.00135,medium,72,120,plastic,taurate,distbtr,pc
19.6,50.1,NA,91.9,10.9,17,388,290,12,5.4,0.017,27.20732,30535.096,9.544685,0.008,0.0011475,medium,98,120,plastic,taurate,distbtr,pc
19.6,50.1,NA,91.9,10.9,17,388,388,12,5.4,0.008,27.20732,30535.096,9.065352,0.008,0.002860174,medium,0,0,plastic,taurate,distbtr,pc
21.4,66.6,NA,89.1,10.25,12.5,390,339,23,9.2,0.023,29.38033,44998.146,12.275546,0.01,0.004332901,high,51,70,plastic,taurate,distbtr,pc
21.5,65.2,NA,90.1,10.25,19.4,386,332,26,9.3,0.0156,33.22208,33737.599,10.288921,0.01,0.00272025,high,54,80,plastic,taurate,distbtr,pc
21.5,64.8,NA,90.4,10.25,19.4,385,331,26,9.3,0.016,33.22208,33737.599,10.460234,0.01,0.002232,high,54,100,plastic,taurate,distbtr,pc
21.5,64.7,NA,91,10.25,19.4,391,330,26,9.4,0.018,33.90923,27026.938,10.89379,0.01,0.002115,high,61,120,plastic,taurate,distbtr,pc
20.9,66.3,NA,90.7,10.24,19.4,384,312,13,5.4,0.018,33.25034,28263.522,10.89379,0.01,0.0018225,high,72,80,plastic,taurate,distbtr,pc
21.3,66,NA,91.2,10.24,19.3,394,337,23,8.6,0.016,33.22208,30768.286,10.054585,0.01,0.00258,high,57,80,plastic,taurate,distbtr,pc
22.4,62.6,NA,92.2,10.25,19.3,386,343,53,13.5,0.013,32.8359,30768.286,8.061039,0.01,0.003290625,high,43,80,plastic,taurate,distbtr,pc
24.1,58.4,NA,92.9,10.24,19.3,388,351,102,17.4,0.012,33.5542,27185.423,8.061039,0.01,0.003915,high,37,80,plastic,taurate,distbtr,pc
22.3,60,NA,93,10.24,19.4,384,331,22,9.4,0.015,33.85562,30768.286,8.663716,0.01,0.00423,high,53,50,plastic,taurate,distbtr,pc
21.4,65.3,NA,92.8,10.24,19.4,387,330,22,9.5,0.017,34.2418,25294.209,9.143049,0.01,0.029186747,high,57,10,plastic,taurate,distbtr,pc
21.3,65.8,NA,91.4,10.24,19.3,387,341,23,9.4,0.012,33.85562,30768.286,8.663716,0.01,0.00423,high,46,40,plastic,taurate,distbtr,pc
21.4,65.9,NA,92.1,10.24,19.2,390,346,23,9.4,0.012,33.85562,30768.286,8.663716,0.01,0.00846,high,44,20,plastic,taurate,distbtr,pc
21.4,65.9,NA,92.1,10.24,19.2,390,346,23,9.4,0.013,33.20689,17924.97,6.802636,0.01,0.003715215,low,44,0,plastic,taurate,distbtr,pc
21.4,65.9,NA,92.1,10.24,19.2,390,390,23,9.4,0.012,32.69289,17924.97,6.802636,0.01,0.003715215,low,0,0,plastic,taurate,distbtr,pc
26.6,44.9,NA,90,13.74,22,387,213,3,3.2,0.018,51.3,2530,4.12,0.01,0.000864,low,174,100,curtin_uni,caustic,distbtr,pc
26.8,43.6,NA,93.2,13.75,21.7,385,289,11,8.5,0.016,28.9,2360,4.22,0.01,0.00204,low,96,100,curtin_uni,caustic,distbtr,pc
28.6,41.8,NA,94.7,13.76,21.3,379,311,25,14,0.016,38.7,2340,4.76,0.01,0.00336,low,68,100,curtin_uni,caustic,distbtr,pc
30.3,39.7,NA,96,13.77,21,384,323,55,17.8,0.018,39.3,2840,4.74,0.01,0.004806,low,61,100,curtin_uni,caustic,distbtr,pc
28.1,40.2,NA,96.7,13.78,21,378,283,12,8,0.018,38.8,3350,4.37,0.01,0.0018,low,95,120,curtin_uni,caustic,distbtr,pc
27.9,39.9,NA,96,13.78,21,379,284,13,8.1,0.018,39.9,3150,4.35,0.01,0.00273375,low,95,80,curtin_uni,caustic,distbtr,pc
28.2,40.3,NA,95.7,13.78,20.8,381,298,13,8.5,0.016,48.9,9060,5.64,0.01,0.00408,low,83,50,curtin_uni,caustic,distbtr,pc
26.4,54,NA,88.7,10.65,21,393,398,14,9,0.036282836,79.5,17100,25.2,0.008734278,0.005854713,low,-5,50,curtin_uni,taurate,distbtr,pc
26.7,51.3,NA,89.2,10.65,21.1,391,325,15,9.4,0.032031531,81.2,17400,28.6,0.008423167,0.005475311,low,66,70,curtin_uni,taurate,distbtr,pc
26.7,50.1,NA,89.4,10.65,21.1,395,323,16,9.4,0.029220693,82.8,20500,32.4,0.008734278,0.005475311,low,72,100,curtin_uni,taurate,distbtr,pc
26.9,48.9,NA,89.6,10.65,21.3,391,317,16,9.7,0.029220693,85.2,22700,38.2,0.008264833,0.005667209,low,74,120,curtin_uni,taurate,distbtr,pc
26.8,49,NA,88.8,10.64,21.4,391,295,8,5.5,0.032890569,82.9,14700,24.2,0.008423167,0.005475311,low,96,70,curtin_uni,taurate,distbtr,pc
27,47.2,NA,88.9,10.64,21.4,387,316,13,8.9,0.030153069,81.5,12000,19.9,0.008423167,0.005475311,low,71,70,curtin_uni,taurate,distbtr,pc
28.2,45.6,NA,89.3,10.64,21.3,386,336,30,13.8,0.031350457,79.4,13400,23.4,0.009611669,0.006046611,low,50,70,curtin_uni,taurate,distbtr,pc
29.6,43.7,NA,90.3,10.64,21.3,388,335,62,18.3,0.031350457,81.5,15200,25.6,0.009611669,0.006213184,low,53,70,curtin_uni,taurate,distbtr,pc
27.6,45.2,NA,90.2,10.63,21.7,389,323,15,9.5,0.029833615,80.7,8020,14.3,0.009611669,0.005475311,low,66,50,curtin_uni,taurate,distbtr,pc
27.5,47.6,NA,88.8,10.62,22,387,328,15,9.5,0.032031531,74.9,16100,21.3,0.008423167,0.005854713,low,59,50,curtin_uni,taurate,distbtr,pc
27.2,48.5,NA,90.2,10.59,22.9,389,335,15,9.5,0.032031531,79.8,10600,16.4,0.008423167,0.005854713,low,54,50,curtin_uni,taurate,distbtr,pc
27.2,48.5,NA,90.2,10.59,22.9,389,389,15,9.5,0.032031531,68.3,16200,12.7,0.008423167,0.005854713,low,0,0,curtin_uni,taurate,distbtr,pc
27.2,48.5,NA,90.2,10.59,22.9,389,389,15,9.5,0.029361488,94.3,4610,10.7,0.008423167,0.005854713,low,0,0,curtin_uni,taurate,distbtr,pc
18.3,73.6,NA,91.8,10.47,16.7,396,349,14,9.4,0.018943951,39.6,5440,1.24,0.005324123,0.00354627,medium,47,50,curtin_uni,taurate,distbtr,pc
18.4,70.8,NA,92.5,10.48,16.8,394,335,15,9.5,0.020798117,40.9,4960,1.06,0.005324123,0.003715215,medium,59,80,curtin_uni,taurate,distbtr,pc
18.4,69.7,NA,92.9,10.48,16.8,395,333,16,9.6,0.025578197,46.5,3050,0.989,0.005324123,0.006343799,medium,62,100,curtin_uni,taurate,distbtr,pc
18.3,69.5,NA,93.2,10.48,17.1,397,328,16,9.5,0.02091153,43.9,4130,1.32,0.005324123,0.003327905,medium,69,120,curtin_uni,taurate,distbtr,pc
17.9,70.6,NA,92.7,10.48,17.1,393,312,8,5.5,0.023385822,53,3220,1.25,0.004941514,0.003747766,medium,81,80,curtin_uni,taurate,distbtr,pc
18.4,70,NA,92.9,10.49,17.1,400,335,15,8.4,0.029829502,45.1,4170,1.39,0.005324123,0.006609462,medium,65,80,curtin_uni,taurate,distbtr,pc
19.5,67,NA,92.3,10.49,17.1,394,344,30,14.3,0.022762232,41.2,4890,1.29,0.008402609,0.004995644,medium,50,80,curtin_uni,taurate,distbtr,pc
21.4,62.3,NA,93.4,10.49,17.1,389,341,60,18.9,0.026813145,45.5,3170,1.13,0.008091498,0.006967933,medium,48,80,curtin_uni,taurate,distbtr,pc
18.8,68,NA,93.1,10.47,17.7,393,342,15,9.6,0.025578197,43.9,3330,1.13,0.005739123,0.006343799,medium,51,10,curtin_uni,taurate,distbtr,pc
17.9,72.1,NA,92.2,10.47,18,396,322,15,5.7,0.013888395,40.5,4020,1.36,0.004941514,0.002593624,medium,74,10,curtin_uni,taurate,distbtr,pc
17.3,78.9,NA,92.2,10.45,18.6,398,337,15,5.7,0.021169347,38,3720,1.08,0.004941514,0.003715215,medium,61,3,curtin_uni,taurate,distbtr,pc
23.9,54.2,NA,86.5,10.29,18.7,391,349,15,9.7,0.062,46,6660,5.26,0.008,0.018042,medium,42,50,curtin_uni,taurate,distbtr,pc
23.9,51.4,NA,88.4,10.29,19,395,337,16,9.2,0.064,49,5070,5.57,0.008,0.01104,medium,58,80,curtin_uni,taurate,distbtr,pc
20,61.4,NA,90,10.28,17.7,400,345,16,9.6,0.023,32,3540,10.9,0.008,0.003312,high,55,100,curtin_uni,taurate,distbtr,pc
20.2,62.8,NA,91.1,10.28,18.1,422,356,16,9.6,0.033,37.4,30800,18.7,0.008,0.00396,high,66,120,curtin_uni,taurate,distbtr,pc
20,62.3,NA,90.4,10.28,18.2,401,325,8,5.8,0.023,34.6,30200,31.4,0.008,0.00250125,high,76,80,curtin_uni,taurate,distbtr,pc
20.3,62.9,NA,90.6,10.28,18.1,420,366,16,8.4,0.017,41.4,41800,12.1,0.008,0.0026775,high,54,80,curtin_uni,taurate,distbtr,pc
21.6,59.4,NA,91,10.28,18.1,416,372,28,14.2,0.03,43.4,32600,10.3,0.008,0.0079875,high,44,80,curtin_uni,taurate,distbtr,pc
23.5,55.4,NA,91.6,10.28,18.2,423,380,59,18,0.026,44.4,27000,9.63,0.008,0.008775,high,43,80,curtin_uni,taurate,distbtr,pc
24,52.9,NA,92.3,10.27,18.5,429,378,64,17.9,0.031,45,22400,8.62,0.008,0.00693625,high,51,120,curtin_uni,taurate,distbtr,pc
22.4,53.7,NA,92.7,10.27,18.6,428,372,35,13.7,0.034,43.8,21800,8.85,0.008,0.0058225,high,56,120,curtin_uni,taurate,distbtr,pc
21.2,55.7,NA,91.9,10.27,18.6,420,353,14,8.4,0.042,45.4,36600,12.6,0.008,0.00441,high,67,120,curtin_uni,taurate,distbtr,pc
20.6,57.2,NA,90.8,10.26,18.8,407,315,9,5.7,0.054,46.5,36600,13,0.008,0.0038475,high,92,120,curtin_uni,taurate,distbtr,pc
20.6,57.2,NA,90.8,10.26,18.8,407,407,9,5.7,0.008,40.1,1630,2.07,0.008,0.00354627,high,0,0,curtin_uni,taurate,distbtr,pc
20.6,57.2,NA,90.8,10.26,18.8,407,407,9,5.7,0.009,39.9,1390,2.01,0.008,0.00354627,high,0,0,curtin_uni,taurate,distbtr,pc
25.9,71.1,26.4,63.7,12.09,23.4,392,392,0,0,0.007,43.65861,20098.015,7,0.008,0.009862296,low,0,0,fill_block_o,taurate,hc,ct
25.2,59.9,22.3,85,11.87,21.5,390,312,1,10,0.022,48.18452,6218.076,55,0.008,0.0036862,low,78,55,fill_block_o,taurate,hc,ct
25.2,59.4,22.1,84.8,11.79,21.3,394,323,1,10,0.013,48.18452,16134.399,22,0.008,0.003266392,low,71,40,fill_block_o,taurate,hc,ct
25.1,60.1,21.9,84.5,11.74,21,393,334,1,10,0.009,48.18452,16134.399,8,0.008,0.001473684,low,59,30,fill_block_o,taurate,hc,ct
25,60.6,21.9,82.3,11.69,21.1,395,347,1,10,0.007,48.18452,16134.399,7,0.008,0,low,48,15,fill_block_o,taurate,hc,ct
23.3,50,20,77.1,11.62,18.4,397,267,0,4,0.022,48.18452,16134.399,30,0.008,0.001947115,medium,130,40,fill_block_o,taurate,hc,ct
22.8,53.8,24.2,77.5,11.75,22.1,396,229,0,0,0.009,48.18452,16134.399,8,0.008,0.006546763,medium,167,40,fill_block_o,taurate,hc,ct
22.6,53,21.9,77.2,11.73,21.1,399,308,0,6,0.014,48.18452,16134.399,26,0.003,0.013701923,medium,91,40,fill_block_o,taurate,hc,ct
22.8,52.1,19.3,81.2,11.71,18.7,400,346,1,13,0.019,48.18452,16134.399,25,0.003,0.060576923,medium,54,40,fill_block_o,taurate,hc,ct
23.6,50.4,19.2,80.6,11.67,18.4,410,360,2,20,0.07,48.18452,16134.399,10,0.003,0.007211538,medium,50,40,fill_block_o,taurate,hc,ct
23.6,49.3,19.1,79.4,11.65,18.4,400,370,4,24,0.02,48.18452,16134.399,33,0.003,0.001081731,medium,30,40,fill_block_o,taurate,hc,ct
27,36.6,21,74.1,11.13,22.1,385,358,0,10,0.003,66,6130,1.93,0.003,0.006438672,medium,27,0,fill_block_o,taurate,hc,ct
27.5,38,22,75.3,11.16,20.1,386,332,1,10,0.055,35,14300,12,0.01,0.013513514,low,54,50,fill_block_o,taurate,hc,ct
27.7,35.7,21.8,75.1,11.16,20,384,333,1,10,0.05,35,16100,15.4,0.01,0.015683086,low,51,40,fill_block_o,taurate,hc,ct
27.7,34.8,21.6,73.1,11.16,19.7,386,342,1,10,0.045,34,17500,14.8,0.01,0.007702703,low,44,30,fill_block_o,taurate,hc,ct
27.9,33.3,21.6,70.1,11.15,19.7,388,352,1,10,0.038,33,18200,14.3,0.01,0.0225,low,36,15,fill_block_o,taurate,hc,ct
26,45,23,71,11.08,19.9,384,287,1.119231,4,0.035,43,1910,1.75,0.01,0.012139535,low,97,40,fill_block_o,taurate,hc,ct
26.4,45,22.2,75,11.08,20,383,308,1.119231,6,0.029,45,1240,1.24,0.01,0.010629371,low,75,40,fill_block_o,taurate,hc,ct
26.4,44.2,21.4,78.9,11.07,20,381,338,1,12,0.016,50,1510,1.33,0.01,0.010093458,low,43,40,fill_block_o,taurate,hc,ct
26.5,43.9,21.1,79,11.07,20,379,347,2,19,0.012,46,1740,1.31,0.01,0,low,32,40,fill_block_o,taurate,hc,ct
26.8,42.5,21.2,78,11.06,20,377,352,4,24,0.01,50,1340,0.873,0.01,0.003504673,low,25,40,fill_block_o,taurate,hc,ct
26.8,42.5,21.2,78,11.06,20,377,377,4,24,0.01,88,1780,5.4,0.01,0.003585507,medium,0,0,fill_block_o,taurate,hc,ct
26.5,31.7,20.2,72.2,10.88,18,399,337,1.5,10,0.025,25,17400,5.11,0.022,0.003551913,medium,62,55,fill_block_o,taurate,hc,ct
26.5,31.7,20.2,72.2,10.88,18,398,336,1.5,10,0.013,24,23000,5.95,0.022,0.016166823,medium,62,40,fill_block_o,taurate,hc,ct
26.6,32.1,20.4,70,10.87,18,396,345,1.5,10,0.046,25,13700,3.66,0.022,0,medium,51,30,fill_block_o,taurate,hc,ct
