Time,Run#,Tgin,Hgin,Tgout,Hgout,PH,Tliq,Fliq,CO2in,Co2out,dp,vg,Tliqo,Dustrak,cmd,nc,vol,mass,ambpm,flowrate1,pmmghour,fliqkghour,driftmgkg,type,packing,disb,medium,loading,co2diff
14:49,PC58,22.6,46.4,16.5,93.6,10.91,16.8,120,386,338,128,18,16.1,0.01,,,,,0.008,0.54,19.44,8640,0.00225,pc,pp,dst,taurate,12,48
14:55,PC59,21.1,46.3,16.6,93.9,10.91,16.8,120,388,332,62,13.3,16.1,0.009,,,,,0.008,0.399,12.9276,8640,0.00149625,pc,pp,dst,taurate,12,56
15:02,PC60,20.1,47.5,16.7,93.2,10.91,16.8,120,388,316,24,9,16.2,0.012,,,,,0.008,0.27,11.664,8640,0.00135,pc,pp,dst,taurate,12,72
15:11,PC61,19.6,50.1,17,91.9,10.9,17,120,388,290,12,5.4,16.4,0.017,,,,,0.008,0.162,9.9144,8640,0.0011475,pc,pp,dst,taurate,12,98
,amb,19.6,50.1,17,91.9,10.9,17,0,388,388,12,5.4,16.4,0.008,,,,,0.008,0,0,0,#DIV/0!,pc,pp,dst,taurate,12,0
14:00,PC65,21.4,66.6,19.7,89.1,10.25,12.5,70,390,339,23,9.2,19.9,0.023,,,,,0.01,0.276,#VALUE!,5040,#VALUE!,pc,pp,dst,taurate,18,51
14:07,PC66,21.5,65.2,19.5,90.1,10.25,19.4,80,386,332,26,9.3,18.8,0.0156,,,,,0.01,0.279,15.66864,5760,0.00272025,pc,pp,dst,taurate,18,54
14:10,PC67,21.5,64.8,19.5,90.4,10.25,19.4,100,385,331,26,9.3,18.8,0.016,,,,,0.01,0.279,16.0704,7200,0.002232,pc,pp,dst,taurate,18,54
14:18,PC68,21.5,64.7,19.5,91,10.25,19.4,120,391,330,26,9.4,18.9,0.018,,,,,0.01,0.282,18.2736,8640,0.002115,pc,pp,dst,taurate,18,61
14:28,PC69,20.9,66.3,19.6,90.7,10.24,19.4,80,384,312,13,5.4,18.9,0.018,,,,,0.01,0.162,10.4976,5760,0.0018225,pc,pp,dst,taurate,18,72
14:39,PC70,21.3,66,19.4,91.2,10.24,19.3,80,394,337,23,8.6,18.8,0.016,,,,,0.01,0.258,14.8608,5760,0.00258,pc,pp,dst,taurate,18,57
14:49,PC71,22.4,62.6,19.1,92.2,10.25,19.3,80,386,343,53,13.5,18.7,0.013,,,,,0.01,0.405,18.954,5760,0.003290625,pc,pp,dst,taurate,18,43
14:56,PC72,24.1,58.4,18,92.9,10.24,19.3,80,388,351,102,17.4,18.8,0.012,,,,,0.01,0.522,22.5504,5760,0.003915,pc,pp,dst,taurate,18,37
14:57,PC73,22.3,60,19.3,93,10.24,19.4,50,384,331,22,9.4,18.9,0.015,,,,,0.01,0.282,15.228,3600,0.00423,pci,pp,60on60off,taurate,18,53
15:16,PC74,21.4,65.3,19.3,92.8,10.24,19.4,10,387,330,22,9.5,18.8,0.017,,,,,0.01,0.285,17.442,597.6,0.029186747,pci,pp,05on25off,taurate,18,57
15:33,PC75,21.3,65.8,19.1,91.4,10.24,19.3,40,387,341,23,9.4,18.6,0.012,,,,,0.01,0.282,12.1824,2880,0.00423,pc,pp,dst,taurate,18,46
15:40,PC76,21.4,65.9,18.8,92.1,10.24,19.2,20,390,346,23,9.4,18.4,0.012,,,,,0.01,0.282,12.1824,1440,0.00846,pc,pp,dst,taurate,18,44
15:46,amb,21.4,65.9,18.8,92.1,10.24,19.2,0,390,346,23,9.4,18.4,0.013,,,,,0.01,0,0,0,#DIV/0!,pc,pp,dst,taurate,1,44
,amb,21.4,65.9,18.8,92.1,10.24,19.2,0,390,390,23,9.4,18.4,0.012,,,,,0.01,0,0,0,#DIV/0!,pc,pp,dst,taurate,1,0
13:57,PC77,26.6,44.9,23.1,90,13.74,22,100,387,213,3,3.2,21.5,0.018,51.3,2.53e+03(#/cm³),3.43e+09(nm³/cm³),4.12(µg/m³),0.01,0.096,6.2208,7200,0.000864,pc,cp,dst,caustic,1,174
14:04,PC79,26.8,43.6,22.3,93.2,13.75,21.7,100,385,289,11,8.5,21,0.016,28.9,2.36e+03(#/cm³),3.51e+09(nm³/cm³),4.22(µg/m³),0.01,0.255,14.688,7200,0.00204,pc,cp,dst,caustic,1,96
14:09,PC80,28.6,41.8,21.5,94.7,13.76,21.3,100,379,311,25,14,20.6,0.016,38.7,2.34e+03(#/cm³),3.97e+09(nm³/cm³),4.76(µg/m³),0.01,0.42,24.192,7200,0.00336,pc,cp,dst,caustic,1,68
14:14,PC81,30.3,39.7,21,96,13.77,21,100,384,323,55,17.8,20.4,0.018,39.3,2.84e+03(#/cm³),3.95e+09(nm³/cm³),4.74(µg/m³),0.01,0.534,34.6032,7200,0.004806,pc,cp,dst,caustic,1,61
14:20,PC82,28.1,40.2,21.4,96.7,13.78,21,120,378,283,12,8,20.5,0.018,38.8,3.35e+03(#/cm³),3.64e+09(nm³/cm³),4.37(µg/m³),0.01,0.24,15.552,8640,0.0018,pc,cp,dst,caustic,1,95
14:27,PC83,27.9,39.9,21.4,96,13.78,21,80,379,284,13,8.1,20.4,0.018,39.9,3.15e+03(#/cm³),3.62e+09(nm³/cm³),4.35(µg/m³),0.01,0.243,15.7464,5760,0.00273375,pc,cp,dst,caustic,1,95
14:35,PC84,28.2,40.3,21,95.7,13.78,20.8,50,381,298,13,8.5,20.2,0.016,48.9,9.06e+03(#/cm³),4.70e+09(nm³/cm³),5.64(µg/m³),0.01,0.255,14.688,3600,0.00408,pc,cp,dst,caustic,1,83
13:56,PC86,26.4,54,21.2,88.7,10.65,21,50,393,398,14,9,20.4,,79.5,1.71e+04(#/cm³),2.10e+10(nm³/cm³), 25.2(µg/m³),,0.27,,3600,,pc,cp,dst,taurate,6,-5
14:03,PC87,26.7,51.3,21.3,89.2,10.65,21.1,70,391,325,15,9.4,20.5,,81.2,1.74e+04(#/cm³),2.38e+10(nm³/cm³), 28.6(µg/m³),,0.282,,5040,,pc,cp,dst,taurate,6,66
14:08,PC88,26.7,50.1,21.4,89.4,10.65,21.1,100,395,323,16,9.4,20.6,,82.8,2.05e+04(#/cm³),2.70e+10(nm³/cm³), 32.4(µg/m³),,0.282,,7200,,pc,cp,dst,taurate,6,72
14:14,PC89,26.9,48.9,21.6,89.6,10.65,21.3,120,391,317,16,9.7,20.8,,85.2,2.27e+04(#/cm³),3.18e+10(nm³/cm³), 38.2(µg/m³),,0.291,,8640,,pc,cp,dst,taurate,6,74
14:21,PC90,26.8,49,21.8,88.8,10.64,21.4,70,391,295,8,5.5,20.9,,82.9,1.47e+04(#/cm³),2.02e+10(nm³/cm³), 24.2(µg/m³),,0.165,,5040,,pc,cp,dst,taurate,6,96
14:27,PC91,27,47.2,21.6,88.9,10.64,21.4,70,387,316,13,8.9,20.8,,81.5,1.20e+04(#/cm³),1.66e+10(nm³/cm³), 19.9(µg/m³),,0.267,,5040,,pc,cp,dst,taurate,6,71
14:33,PC92,28.2,45.6,21.3,89.3,10.64,21.3,70,386,336,30,13.8,20.7,,79.4,1.34e+04(#/cm³),1.95e+10(nm³/cm³), 23.4(µg/m³),,0.414,,5040,,pc,cp,dst,taurate,6,50
14:37,PC93,29.6,43.7,21.2,90.3,10.64,21.3,70,388,335,62,18.3,20.8,,81.5,1.52e+04(#/cm³),2.13e+10(nm³/cm³), 25.6(µg/m³),,0.549,,5040,,pc,cp,dst,taurate,6,53
14:51,PC94,27.6,45.2,21.6,90.2,10.63,21.7,50,389,323,15,9.5,21.1,,80.7,8.02e+03(#/cm³),1.19e+10(nm³/cm³), 14.3(µg/m³),,0.285,,3600,,pci,cp,30on30off,taurate,6,66
15:08,PC95,27.5,47.6,21.9,88.8,10.62,22,50,387,328,15,9.5,21,,74.9,1.61e+04(#/cm³),1.78e+10(nm³/cm³), 21.3(µg/m³),,0.285,,3600,,pci,cp,30on30off,taurate,6,59
15:33,PC96,27.2,48.5,21.7,90.2,10.59,22.9,50,389,335,15,9.5,21.6,,79.8,1.06e+04(#/cm³),1.37e+10(nm³/cm³), 16.4(µg/m³),,0.285,,3600,,pci,cp,30on30off,taurate,6,54
,amb,27.2,48.5,21.7,90.2,10.59,22.9,0,389,389,15,9.5,21.6,,68.3,1.62e+04(#/cm³),1.06e+10(nm³/cm³), 12.7(µg/m³),,0,,0,#DIV/0!,pc,cp,dst,taurate,6,0
,amb,27.2,48.5,21.7,90.2,10.59,22.9,0,389,389,15,9.5,21.6,,94.3,4.61e+03(#/cm³),8.91e+09(nm³/cm³), 10.7(µg/m³),,0,,0,#DIV/0!,pc,cp,dst,taurate,6,0
9:54,PC97,18.3,73.6,16.4,91.8,10.47,16.7,50,396,349,14,9.4,16.1,,39.6,5.44e+03(#/cm³),1.03e+09(nm³/cm³),1.24(µg/m³),,0.282,,3600,,pc,cp,dst,taurate,12,47
